iter	Logloss
0	0.6810568656
1	0.6717235168
2	0.6641964539
3	0.6551613332
4	0.6479619834
5	0.6349581755
6	0.6285594408
7	0.6236955506
8	0.6161284593
9	0.6099168464
10	0.6047040456
11	0.5987084021
12	0.5883200989
13	0.583300017
14	0.5783466375
15	0.5749760377
16	0.5721444943
17	0.5659961158
18	0.557155167
19	0.5527505639
20	0.5506107074
21	0.5422239722
22	0.538091457
23	0.535858806
24	0.5324502977
25	0.5304946753
26	0.5246398319
27	0.5207009664
28	0.5184854157
29	0.5157266115
30	0.514284995
31	0.5118631074
32	0.5104888445
33	0.5072275831
34	0.5048166263
35	0.4988246783
36	0.4970574267
37	0.49365127
38	0.4902050616
39	0.4850017879
40	0.4819251328
41	0.4775735355
42	0.4735416613
43	0.4701532237
44	0.4675025424
45	0.4652135975
46	0.463937683
47	0.4611288639
48	0.455899438
49	0.4553056794
50	0.4524766876
51	0.4494505189
52	0.4468100922
53	0.4453246134
54	0.4445591241
55	0.4419518414
56	0.4411709333
57	0.4390560387
58	0.4362565356
59	0.4339768489
60	0.4305688947
61	0.4285180205
62	0.425879449
63	0.4205927289
64	0.4188993665
65	0.417561913
66	0.4167910086
67	0.4154939144
68	0.4111299948
69	0.4058079056
70	0.4040444804
71	0.4001488506
72	0.3973417382
73	0.3929343784
74	0.3885439617
75	0.3860834544
76	0.3830963726
77	0.3781042526
78	0.3748533443
79	0.372574385
80	0.3711188255
81	0.3672963884
82	0.3642961662
83	0.360826656
84	0.3578610416
85	0.3550572327
86	0.3521661503
87	0.3505397582
88	0.34677038
89	0.3433789911
90	0.3403697374
91	0.3369268506
92	0.3341967925
93	0.3303720934
94	0.3258448655
95	0.3223711494
96	0.3188036427
97	0.3155218967
98	0.3137165004
99	0.3106221383
100	0.3082224472
101	0.3069851266
102	0.3041924818
103	0.3005285836
104	0.2987485351
105	0.294522096
106	0.2914658862
107	0.2887617833
108	0.2859377464
109	0.2830711732
110	0.2799278035
111	0.2765968625
112	0.2744436397
113	0.2724759426
114	0.2698462807
115	0.2676697791
116	0.2650074876
117	0.2626800219
118	0.2597865577
119	0.2580259202
120	0.2563534548
121	0.2534562279
122	0.2511472328
123	0.2488436899
124	0.2458911039
125	0.2442546194
126	0.242143778
127	0.2392447893
128	0.2373115191
129	0.2345364645
130	0.2324404926
131	0.2303487736
132	0.2290417866
133	0.2273052417
134	0.2243393053
135	0.2230506953
136	0.2204411486
137	0.2183559427
138	0.2168758099
139	0.2156370162
140	0.2132494154
141	0.2114499948
142	0.2100524856
143	0.208607967
144	0.2060135966
145	0.2046874267
146	0.2024653835
147	0.2011184148
148	0.1989070178
149	0.196297118
150	0.1945786152
151	0.1934548144
152	0.1921482829
153	0.1909083853
154	0.1891007139
155	0.1872255976
156	0.1856553735
157	0.1832555642
158	0.181600272
159	0.1799708613
160	0.1787833422
161	0.176958855
162	0.1755791431
163	0.1738104842
164	0.1720103273
165	0.1703416775
166	0.1690807283
167	0.1676556335
168	0.1657872116
169	0.1640689802
170	0.1625515748
171	0.1611272336
172	0.1601911115
173	0.1588897986
174	0.15776552
175	0.1567819855
176	0.155271023
177	0.153573386
178	0.1520314264
179	0.1510891506
180	0.1499121204
181	0.1485653002
182	0.1469794754
183	0.1452272368
184	0.1442539333
185	0.1431647957
186	0.142471944
187	0.1411644276
188	0.1395843773
189	0.1383802888
190	0.1374916912
191	0.1367858088
192	0.1358920454
193	0.1342058229
194	0.1326600478
195	0.1316090707
196	0.1304947422
197	0.1289681927
198	0.1275933072
199	0.1265633421
